Question;Option A;Option B;Option C;Option D;answer
If a train travels 300 km in 5 hours," what is its speed?;50 km/h;60 km/h;70 km/h;80 km/h;B
Which number comes next: 2," 4"," 8"," 16 ___?;24;32;64;128;B
If all Bloops are Razzies and all Razzies are Lazzies," then all Bloops are definitely Lazzies.;True;False;Maybe;None of the above;A
A shirt costs $20 after a 20% discount. What was its original price?;$22;$24;$25;$30;C
Which word does NOT belong?;Apple;Banana;Carrot;Orange;C
If 3 workers complete a task in 10 days," how many days will 5 workers take?;4;6;8;10;B
Which shape has the most sides?;Triangle;Square;Pentagon;Hexagon;D
What is 25% of 200?;25;50;75;100;B
If today is Monday," what day will it be in 15 days?;Monday;Tuesday;Wednesday;Sunday;B
Which is the smallest prime number?;1;2;3;5;B
Solve: 12 + 8 ÷ 4 × 2;8;10;14;16;C
Which is the odd one out?;Circle;Sphere;Cube;Triangle;A
A rectangle has a length of 8 cm and width of 5 cm. What is its area?;13 cm²;26 cm²;40 cm²;80 cm²;C
If CAT is coded as 312," how is DOG coded?;415;467;496;512;B
What is the next letter: A," C"," E"," G ___?;H;I;J;K;B
A bag contains 4 red and 6 blue balls. Probability of drawing a red ball?;0.2;0.4;0.6;0.8;B
Which number is divisible by 3?;14;19;27;32;C
"Which word is a synonym for ""happy""?;Joyful;Angry;Sad;Tired;A
What is 3 squared plus 4 squared?;5;7;25;49;C
Complete the analogy: Book is to Reading as Fork is to ___.;Writing;Eating;Drawing;Sleeping;B
If 1 kg = 2.2 lbs," how many lbs are in 5 kg?;7.2;10;11;15;C
Which is NOT a Fibonacci number?;1;2;3;7;D
A clock shows 3:15. What is the angle between the hands?;0°;7.5°;15°;30°;B
What is the average of 10," 20"," and 30?;15;20;25;30;B
If all Zips are Zaps and some Zaps are Zops," then some Zips are definitely Zops.;True;False;Maybe;None of the above;C
Solve: 15 - 3 × 4 + 2;1;5;10;14;B
Which is the capital of France?;Berlin;London;Paris;Rome;C
What is 20% of 50% of 100?;5;10;20;50;B
Which is the largest fraction?;1/2;2/3;3/4;5/6;D
If A is taller than B and B is taller than C," who is shortest?;A;B;C;Can't determine;C
What is the next number: 1," 1"," 2"," 3"," 5 ___?;6;7;8;9;C
A cube has how many edges?;6;8;12;24;C
"Which word means the opposite of ""generous""?;Kind;Stingy;Happy;Brave;B
If 2x - 5 = 11," what is x?;3;6;8;10;C
Which planet is closest to the Sun?;Earth;Mars;Mercury;Venus;C
What is 7 × 8 - 9?;47;49;56;65;A
Complete the series: Z," X"," V"," T"," ___?;Q;R;S;P;B
A car travels 60 km in 45 minutes. What is its speed in km/h?;60;70;80;90;C
Which is NOT a prime number?;11;13;17;21;D
If 4 apples cost $2," how much do 10 apples cost?";$4;$5;$6;$8;B
Which shape has 5 sides?;Pentagon;Hexagon;Octagon;Decagon;A
What is the square root of 144?;10;12;14;16;B
Which word is misspelled?;Accommodate;Separate;Definately;Necessary;C
If 30% of a number is 90," what is the number?;100;200;300;400;C
Which is the lightest?;1 kg cotton;1 kg iron;Both equal;Can't compare;C
Solve: (10 + 5) × 2 - 8;12;18;22;32;C
What is the next number: 2," 6"," 12"," 20"," ___?;24;28;30;32;C
Which gas is most abundant in Earth's atmosphere?;Oxygen;Carbon dioxide;Nitrogen;Hydrogen;C
If 8 workers build a wall in 6 days," how many workers are needed to build it in 3 days?;12;14;16;20;C
Which is the longest river in the world?;Nile;Amazon;Yangtze;Mississippi;A
What is 1/4 + 1/3?;1/7;5/12;7/12;2/3;C
If RED is coded as 1854," how is GREEN coded?;755146;775146;795146;715546;B
Which is NOT a programming language?;Java;Python;HTML;Safari;D
A triangle with sides 3," 4"," 5 "is a ___ triangle.;Equilateral;Isosceles;Scalene;Right-angled;D
What is 12.5% as a fraction?;1/4;1/6;1/8;1/12;C
Which month has 28 days?;January;February;November;All of them;D
If 3x + 2y = 10 and x = 2," what is y ?";1;2;3;4;B
Which country is NOT in Europe?;Brazil;France;Germany;Italy;A
What is the area of a circle with radius 7? (π=22/7);44;88;154;308;C
Complete the analogy: Pen is to Write as Knife is to ___.;Cut;Draw;Eat;Throw;A
Which is the smallest continent?;Africa;Asia;Australia;Europe;C
What is 0.75 as a percentage?;7.5%;75%;750%;0.075%;B
If 5 books cost $25," how much do 8 books cost?";$30;$35;$40;$45;C
Which is the largest ocean?;Atlantic;Arctic;Indian;Pacific;D
Solve: 2² + 3³ + 4²;4;9;16;33;D
What is the next letter: B," D"," G"," K"," ___?;M;N;O;P;D
A number increased by 20% becomes 120. What is the number?;80;100;120;140;B
Which is NOT a vowel?;A;E;H;U;C
What is the perimeter of a square with area 25?;10;15;20;25;C
If 1=5," 2=10"," 3=15"," then 5=?;5;20;25;30;C
Which is NOT a polygon?;Circle;Hexagon;Pentagon;Square;A
What is 3/4 of 100?;25;50;75;100;C
If all Thigs are Wugs and no Wugs are Zugs," then no Thigs are Zugs.;True;False;Maybe;None of the above;A
Which is the capital of Japan?;Beijing;Seoul;Tokyo;Bangkok;C
What is 10% of 50 plus 50% of 10?;5;10;15;20;B
Complete the series: 1," 4"," 9"," 16 ___?;20;23;25;30;C
Which is NOT a metal?;Gold;Silver;Oxygen;Copper;C
If 2 pipes fill a tank in 6 hours," how long will 3 pipes take?;2;3;4;6;C
What is the missing number: 5," 11"," 17"," 23"," ___?;27;29;31;33;B
Which planet is known as the Red Planet?;Earth;Mars;Jupiter;Venus;B
Solve: 1 + 2 × 3 ÷ (4 - 1);1;2;3;4;C
What is the next letter: J," F"," M"," A"," ___?;M;J;A;S;A
A store offers 20% off a $50 item. What is the sale price?;$30;$40;$45;$48;B
Which is the largest 2-digit prime number?;89;91;97;99;C
If 1 yard = 3 feet," how many feet are in 5 yards?;8;12;15;18;C
What is the smallest perfect number?;1;6;12;28;B
Complete the analogy: Doctor is to Hospital as Teacher is to ___.;School;Office;Library;Park;A
Which is NOT a triangle type?;Scalene;Isosceles;Equilateral;Rectangular;D
What is 2³ + 3²?;5;13;17;25;C
If 4x - 7 = 9," what is x?;2;3;4;5;C
Which country is shaped like a boot?;France;Greece;Italy;Spain;C
What is the sum of angles in a triangle?;90°;180°;270°;360°;B
Which is the smallest number divisible by 2," 3"," and 5?;10;15;20;30;D
If 10% of x is 5," what is x?;10;20;50;100;C
Which is NOT a fruit?;Apple;Potato;Banana;Orange;B
What is 0.1 × 0.1?;0.01;0.1;1;10;A
Complete the series: 2," 5"," 10"," 17"," ___?;24;26;28;30;B
Which is the longest side of a right-angled triangle?;Base;Height;Hypotenuse;Diagonal;C
What is 1 + 2 + 3 + ... + 10?;45;50;55;60;C
If 12 workers build a wall in 9 days," how many days will 18 workers take?;4;6;8;10;B
Which number is missing: 3," 7"," 15"," 31"," ___?;47;53;63;127;C
Complete the analogy: Oxygen is to Humans as ___ is to Plants.;Water;Sunlight;Carbon dioxide;Soil;C
A shopkeeper sells an item at 25% profit for $50. What was its cost price?;$30;$35;$40;$45;C
"Which word is an antonym of ""Benevolent""?;Kind;Malevolent;Generous;Helpful;B
If 5x - 3 = 22," what is x?;4;5;6;7;B
Which shape has rotational symmetry of order 4?;Equilateral triangle;Square;Pentagon;Hexagon;B
What is 15% of 80?;8;12;15;20;B
If today is Wednesday," what day was it 10 days ago?;Sunday;Monday;Tuesday;Friday;A
Which is the smallest composite number?;1;2;3;4;D
Solve: (18 ÷ 3) + (5 × 2);11;14;16;20;C
Which is the odd one out?;Cube;Sphere;Cylinder;Pyramid;B
A rectangle's perimeter is 30 cm. If length is 10 cm," what is its width?;5 cm;7 cm;10 cm;15 cm;A
If DOG is coded as 4157," how is CAT coded?;3120;3119;2130;1319;A
What is the next letter: J," M"," P"," S ___?;U;V;W;X;B
A dice shows 3 on top. What number is opposite to it?;1;2;4;6;C
Which number is divisible by 9?;123;234;345;456;B
If y + 7 = 3y - 5," what is y?;4;6;8;10;B
"Which word means ""to make worse""?;Alleviate;Ameliorate;Exacerbate;Mitigate;C
What is 4³ - 3²?;47;55;64;73;B
Complete the analogy: Thermometer is to Temperature as Barometer is to ___.;Wind;Rain;Pressure;Humidity;C
If 1 mile ≈ 1.6 km," how many km are in 5 miles?;6;8;10;12;B
Which is NOT a Fibonacci sequence number?;8;13;21;25;D
At 4:30," the angle between clock hands is:;15°;30°;45°;60°;C
What is the average of 15," 25"," and 35?;20;25;30;35;B
If some Pips are Pops and all Pops are Paps," then some Pips are definitely Paps.;True;False;Maybe;None;A
Solve: 20 - 5 × 3 + 2;3;7;13;17;B
"Which city is known as the ""Eternal City""?;Athens;London;Paris;Rome;D
What is 30% of 70% of 200?;42;50;60;70;A
Which fraction is largest?;3/8;5/12;7/16;9/24;C
If X is taller than Y but shorter than Z," who is tallest?;X;Y;Z;Can't say;C
What is the next number: 0," 1"," 1"," 2"," 3"," 5 ___?;6;7;8;9;C
A cuboid has how many faces?;4;6;8;12;B
"Which word means opposite of ""Scarce""?;Rare;Abundant;Limited;Few;B
If 3a + 4 = 19," what is a?;3;5;7;9;B
Which planet has the most moons?;Earth;Jupiter;Mars;Saturn;D
What is 9 × 7 - 8?;47;55;63;71;B
Complete the series: Q," N"," K"," H"," ___?;E;F;G;D;A
A car's speed increases from 40 km/h to 60 km/h. What is the percentage increase?;30%;40%;50%;60%;C
Which is NOT a prime number?;19;23;27;29;C
If 6 pens cost $4.20," how much do 10 pens cost?;$6;$7;$8;$10;B
Which polygon has 7 sides?;Hexagon;Heptagon;Octagon;Nonagon;B
What is the cube root of 125?;3;5;7;9;B
Which word is misspelled?;Embarrass;Harass;Occurrence;Priviledge;D
If 40% of a number is 120," what is the number?;200;250;300;350;C
Which weighs more?;1 kg feathers;1 kg steel;Same;Depends;C
Solve: (12 + 8) × (5 - 2);40;50;60;70;C
What is the next number: 1," 3"," 6"," 10"," ___?;12;14;15;18;C
Which gas do plants release during photosynthesis?;Carbon dioxide;Nitrogen;Oxygen;Hydrogen;C
If 10 painters finish work in 15 days how many painters are needed to finish in 5 days?;20;25;30;35;C
Which is the deepest ocean?;Atlantic;Arctic;Indian;Pacific;D
What is 1/5 + 1/2?;2/7;3/10;7/10;9/10;C
If RED is 1854 how is BLUE coded?;225211;225215;225221;225225;C
Which is NOT a markup language?;HTML;XML;JSON;SQL;D
A triangle with angles 45°," 45°"," 90° is:;Scalene;Isosceles;Equilateral;Obtuse;B
What is 37.5% as a fraction?;1/4;3/8;5/16;7/12;B
Which month has the fewest days?;February;April;June;November;A
Which country is NOT in Asia?;Brazil;China;India;Japan;A
What is the circumference of a circle with radius 14? (π=22/7);44;88;154;176;B
Complete the analogy: Keyboard is to Type as Mouse is to ___.;Click;Scroll;Point;All;D
Which continent has the most countries?;Africa;Asia;Europe;North America;A
What is 0.625 as a percentage?;6.25%;62.5%;625%;0.0625%;B
If 8 notebooks cost $24," how much do 15 notebooks cost?;$30;$40;$45;$50;C
Which sea is the saltiest?;Black Sea;Dead Sea;Red Sea;Mediterranean;B
Solve: 3² + 4³ + 5²;9;16;25;50;D
What is the next letter: C," F"," I"," L"," ___?;O;P;Q;R;A
A number decreased by 15% becomes 85. What is the number?;90;100;110;120;B
Which is NOT a consonant?;B;E;D;F;B
What is the perimeter of a rectangle with sides 12 cm and 8 cm?;20 cm;30 cm;40 cm;50 cm;C
If 2=6," 3=12"," 4=20"," then 5=?;25;30;35;40;B
Which is NOT a quadrilateral?;Circle;Rectangle;Rhombus;Square;A
What is 5/8 of 64?;30;35;40;45;C
If no Taps are Tips and some Tips are Tops,then some Taps are not Tops.;True;False;Maybe;None;A
Which city is called the ""Big Apple""?;Chicago;Los Angeles;New York;Washington;C
What is 20% of 30 plus 30% of 20?;6;10;12;15;C
Complete the series: 1," 8"," 27"," 64"," ___?;100;121;125;144;C
Which is NOT a noble gas?;Helium;Neon;Oxygen;Argon;C
If 4 pumps empty a tank in 10 hours," how long will 5 pumps take?;6;7;8;10;C
What is the missing number: 10," 17"," 26"," 37"," ___?;46;50;52;56;B
Which planet is known for its rings?;Earth;Jupiter;Saturn;Uranus;C
Solve: 2 + 3 × 4 ÷ (6 - 2);2;3;4;5;D
What is the next letter: A," E"," I"," M"," ___?;Q;R;S;T;A
A $120 item is discounted 25%. What is the sale price?;$75;$90;$100;$110;B
Which is the largest 3-digit prime number?;991;997;999;1000;B
If 1 foot = 12 inches," how many inches are in 4.5 feet?;48;52;54;60;C
What is the smallest abundant number?;6;12;18;24;B
Complete the analogy: Chef is to Kitchen as Pilot is to ___.;Airport;Cockpit;Runway;Hangar;B
Which triangle has all sides equal?;Scalene;Isosceles;Equilateral;Right;C
What is 10² - 8²?;12;24;36;64;C
If 5y - 8 = 22," what is y?;4;6;8;10;B
Which country is shaped like a shoe?;Greece;Italy;Portugal;Spain;B
What is the sum of angles in a quadrilateral?;180°;270°;360°;540°;C
Which is the smallest number divisible by 4," 5"," and 6?;40;50;60;70;C
If 15% of x is 45," what is x?;200;300;400;500;B
Which is NOT a vegetable?;Broccoli;Cauliflower;Potato;Strawberry;D
What is 0.01 × 0.1?;0.001;0.01;0.1;1;A
Complete the series: 3," 9"," 27"," 81 ___?;162;243;324;729;B
Which side is opposite the right angle in a triangle?;Adjacent;Base;Hypotenuse;Perpendicular;C
What is the sum of first 15 natural numbers?;105;115;120;130;C